Channel0	Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	Channel9	Channel10	Channel11	Channel12	Channel13	Channel14	Channel15	Channel16	Channel17	Channel18	Channel19
1.975934578755129012e+00	1.009928044326212637e-01	1.051502711968485132e-01	1.581400101986542683e+00	2.101820317429652807e+00	2.123839146056666904e-01	1.971885147033229035e+00	1.565930026591475066e+00	2.075014728652241694e-02	2.051663134395643462e-01	1.588187365993023015e+00	1.143311322679694680e-01	3.521220620361525250e-02	1.375424188681282356e-01	7.873767516306162673e-02	1.076277324240924038e+00	1.394246990177241442e-02	1.964887191562876501e+00	5.658794660052911957e-02	1.575563533412346340e+00
1.955333804733817793e+00	1.686186779793770463e-02	1.054563974925733921e-01	1.573091499670145721e+00	4.815022063214219328e-02	3.677243078625573591e-02	1.378678495644998676e-02	1.656360494471017034e-02	5.561753307641999211e-02	1.979073220847779702e+00	1.102450008826298539e-01	2.128670994469159250e-01	9.221495212946000802e-03	1.674006567950107188e-02	1.297857211973633684e-01	1.967417823352859862e+00	9.249119141527879784e-03	1.962727609576583099e+00	5.405896163756120781e-02	2.454537402671723781e-02
1.980819965951900796e+00	9.180348927940235049e-02	1.059127063215733189e-01	1.582405941747285993e+00	2.069235825640670878e+00	2.163405956503955951e-01	1.967767558358350266e+00	1.564935609026307572e+00	2.493814684068398901e-02	2.088861689951995171e-01	1.590586421986883936e+00	1.115813371243688235e-01	3.131146935539459025e-02	1.256750155008319048e-01	5.491660625354748831e-02	1.081280493291836287e+00	1.237029717322486386e-02	1.963975959387849191e+00	6.367479918249883963e-02	1.572365626251530646e+00
2.636467405431387398e-02	1.088285471234922364e+00	1.081093554360703202e+00	2.597958469021882655e-02	1.535325505284523481e-02	2.799257952842586564e-02	6.314476573429321504e-02	1.074912084445298177e+00	2.097733833404931969e-01	4.808650985433038372e-03	2.159177922699398733e-01	1.135734008762063207e-01	3.462120908844763811e-02	1.079083306349384985e+00	0.000000000000000000e+00	5.676022906609486107e-02	1.989153469484911032e-03	1.078414368040325089e+00	1.281012334650482309e-01	1.065263600446017200e+00
4.967769968462101837e-02	3.285464357025782989e-02	2.090213239625452607e-02	2.113053689123195744e-01	1.997750604434965327e+00	2.199966000267045418e-01	1.976881071931751110e+00	1.559649438403989397e+00	1.241182193381909632e-01	1.572972246383341544e+00	1.585855353852939631e+00	1.001414606689193798e-01	5.449471784259199425e-02	1.164272208425357752e-01	2.390917594648943323e-02	2.071066422413802288e-01	4.094037443214482153e-02	1.579873266983085500e+00	5.958186048637535009e-02	4.432106127891121197e-03
3.544572778146760916e-02	1.079844037419823488e+00	2.064086445299301020e-01	9.804319843826174441e-03	0.000000000000000000e+00	1.074880316314224260e-01	1.960300255114554968e+00	1.674781574185753019e-01	1.076918735460829613e+00	7.002930638613072238e-03	1.974070881198723981e+00	4.641796879164318546e-02	1.961240145958537351e+00	1.081457398603532294e+00	1.543679203390821777e-02	1.961712840172770589e+00	1.086487969101761070e-01	1.103688436657029870e+00	4.081813500845360432e-02	1.581204312307272541e+00
4.321005203064891276e-02	2.051896990508691176e-01	1.056931508047687540e+00	1.567850983928617881e+00	1.511170214067691919e-02	3.134643787326767128e-02	5.157633426383867459e-02	1.088399291403345126e+00	1.081454607745246488e+00	4.054551928617619594e-02	7.195694144969594364e-03	1.127878800202537779e-01	3.757261189828808162e-02	1.980810308937561048e+00	3.474801320310544339e-02	2.029915009121782687e-02	2.905990521743550409e-02	1.091092620855499851e+00	7.697265526519045387e-02	1.952776219423652648e+00
1.026267854333849927e+00	3.444817758161290017e-02	1.960197372483311495e+00	1.055298493642068541e-02	3.076292268698634091e-03	8.069335831162332065e-03	7.412221765013848884e-02	1.078812522667313978e+00	1.566152835716305036e+00	7.199226211417358856e-02	1.076482136654044908e+00	4.929102192055930497e-03	4.094987416444447956e-03	1.079513015463983594e+00	3.820409845576530627e-02	1.016862638001771735e-01	0.000000000000000000e+00	1.089245296814263853e+00	1.109603638285672905e-02	1.953391561169708801e+00
1.981402141929424765e+00	9.822007673098626102e-02	1.128092519786373094e-01	1.582543127014826689e+00	1.825043399005174205e+00	2.161604812559969058e-01	1.972042212378957382e+00	1.581538190151682732e+00	1.864351722675960596e-02	2.082978511673808930e-01	1.586646992423812907e+00	1.134969382203529775e-01	4.031128029866593021e-02	1.272604863571487055e-01	1.195186117357976696e-01	1.078867315301563323e+00	1.148987647894041640e-02	1.958829999155922597e+00	5.332161901936192244e-02	1.577918638685623653e+00
4.541044623710312894e-02	1.064543425429416157e+00	1.078682517047828693e+00	2.660363692208838129e-02	2.258170383333073239e-02	2.342500468713706527e-02	5.775034342758373490e-02	1.079782180252159218e+00	2.075214382288503023e-01	3.155210671964830266e-02	2.150701062378317374e-01	1.171150762228503339e-01	4.532419345872381461e-02	1.091423133700566872e+00	7.882367211411476227e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.081577405176948004e+00	1.185699907661626196e-01	1.085285151618156751e+00
1.958937551075385253e+00	2.499417318793606749e-02	1.138888405636717394e-01	1.571696978724039573e+00	4.905180235135803146e-02	3.820750808909147839e-02	1.386321791334548317e-02	1.771573000203978399e-02	5.297800696611340565e-02	1.980986244439260968e+00	1.112643371887483967e-01	2.164930250877332152e-01	8.961603567087406824e-03	1.418623576012936760e-02	1.310572765454389998e-01	1.965673977380608894e+00	8.911440934558270688e-03	1.960367461763778074e+00	5.549865974837622784e-02	1.528312302622442803e-02
1.978826453294526999e+00	1.138113711892077135e-01	1.116853874046610379e-01	1.576587066560563688e+00	1.747611925632416741e+00	2.142714094641986200e-01	1.973035053019781326e+00	1.574773646710830421e+00	9.943800373753742400e-03	2.104332995044650712e-01	1.582325181877685782e+00	1.107888242379405225e-01	3.296988732410660594e-02	7.363633562918783793e-02	1.443613982602846568e-01	1.079621244924671819e+00	1.192361936456981346e-02	1.954567466484588012e+00	5.944249286762696288e-02	1.579821213008264280e+00
4.990037463457012296e-02	1.079780141809518756e+00	2.079573331226715893e-01	1.383924718949454055e-02	2.430195417087627034e-03	1.125872738429397890e-01	1.959921848008210121e+00	1.084425734093097532e-01	1.080011573667747138e+00	1.120860470608115410e-02	1.965838295242205991e+00	5.578627506954034199e-02	1.969403809321917498e+00	1.075620884161512691e+00	1.488093964149243657e-02	1.955637747733976362e+00	1.071564289446301776e-01	1.081523958128792540e+00	3.958287892614458653e-02	1.575199122379485894e+00
1.981912939714931987e+00	1.000219263489862814e-01	1.021785681014231312e-01	1.583317443675791525e+00	1.973462093957487395e+00	2.246167071307218210e-01	1.967231598211990340e+00	1.563084804609585765e+00	2.983258350097122910e-02	2.145213424100310684e-01	1.580971408536296918e+00	1.134265735375291628e-01	2.967391505682079322e-02	1.091097419340280456e-01	1.474351105352081359e-01	1.085850953256361162e+00	1.017850962470113856e-02	1.955786773052346161e+00	6.212055879610537540e-02	1.572708513991630808e+00
4.146392133842399796e-02	2.091898586368151070e-01	1.068517617021458976e+00	1.568201022554590818e+00	1.023938986090611528e-02	5.621953953325047049e-02	6.701540988007030630e-02	1.091182350626769493e+00	1.080428261731703588e+00	4.028142362016499944e-02	4.764213732412556600e-03	1.075351277766415370e-01	4.280878992843532155e-02	1.963320852817184381e+00	2.317214211059665310e-02	1.627943795867507412e-02	1.700559270538373746e-02	1.085985735715445433e+00	1.357079006491699810e-02	1.957494282528554841e+00
5.448900478752514293e-02	4.503849400336441822e-02	0.000000000000000000e+00	2.102087462327869027e-01	1.982248415628595328e+00	2.119153115026087553e-01	1.972238709601733975e+00	1.580248576626714030e+00	1.295949473606065883e-01	1.579396326894656699e+00	1.595589243670791024e+00	1.131101529554401214e-01	6.024174396190504210e-02	1.231643669842929500e-01	7.445949358004552709e-02	2.063403150526187391e-01	3.734365289535519772e-02	1.572935258724879048e+00	6.400977003576886759e-02	1.256385310412080035e-02
4.911006308026719114e-02	3.973490571990209719e-02	1.913959220429999747e-02	2.098509430240472484e-01	1.992438859326228551e+00	2.206114379379300328e-01	1.974523120077226190e+00	1.569571309727431085e+00	1.207110856543506111e-01	1.573078898002805870e+00	1.586976394768307097e+00	1.170761484845030398e-01	5.800440398458009406e-02	1.231865243492666767e-01	4.374319016360521395e-02	2.059350560329048785e-01	4.085214203014645579e-02	1.577028644543964075e+00	6.156183629879365821e-02	5.779126645291119031e-03
3.903843740395245010e-02	1.084131722106171702e+00	1.085693015886494361e+00	1.847243404929158409e-02	1.179821125318390382e-02	3.004209096829629083e-02	6.344388243390404469e-02	1.072703659133407816e+00	2.075684857283555118e-01	3.973620154653929176e-03	2.133542973739680770e-01	1.228059423308516807e-01	3.473666697707390727e-02	1.070410377121565171e+00	0.000000000000000000e+00	8.199372967913517996e-02	1.294873462087941379e-02	1.071542813679661199e+00	1.279629829973375210e-01	1.070414187901965741e+00
